Time(ms),X,Y,Z
97213,-9.95,-8.61,17.64
97317,4.82,-4.94,28.20
97420,10.44,-6.59,3.42
97523,14.40,5.19,4.15
97625,-3.78,4.15,6.65
97728,-47.24,-22.09,-66.28
97832,42.11,-54.26,-67.99
97935,24.54,15.69,15.56
98038,8.85,79.35,-18.62
98141,-82.28,-44.56,55.24
98244,106.81,-9.52,38.64
98347,52.80,51.27,87.95
98449,10.86,112.06,-25.21
98552,124.51,-265.62,168.03
98655,165.47,-230.83,432.25
98758,-109.92,347.17,151.43
98861,-54.57,556.34,225.04
98965,12.63,535.34,-240.84
99068,408.94,-512.08,-420.78
99170,411.01,-164.18,142.70
99273,-8.30,143.43,242.13
99376,-73.49,622.50,107.79
99478,-5.00,359.01,-599.55
99581,674.13,-373.11,-230.29
99685,163.33,13.31,274.11
99788,54.50,274.78,189.76
99891,-29.36,587.65,-26.25
99994,-86.06,162.96,-482.06
100098,24.17,-465.21,-128.60
100201,293.52,-73.85,75.81
100304,126.22,275.63,202.70
100407,-4.94,522.16,-42.66
100510,121.52,-199.89,-621.89
100613,272.40,-309.69,35.46
100716,178.89,-104.19,46.69
100819,175.05,30.76,102.42
100922,-182.07,161.87,246.52
101025,-12.15,461.18,122.99
101128,92.96,475.10,-385.31
101231,300.17,-275.15,-326.60
101334,424.87,6.77,-138.92
101437,238.53,41.26,149.90
101540,35.03,240.23,191.77
101642,-35.46,533.57,80.51
101746,109.50,31.68,-567.50
101849,295.78,-557.07,-126.77
101952,288.88,-16.36,253.91
102055,-17.58,144.04,185.85
102157,-35.77,400.51,15.14
102260,152.47,305.18,-479.19
102362,362.92,-449.71,-166.93
102465,279.11,-74.40,266.36
102568,65.86,100.52,195.98
102670,-53.71,521.12,148.50
102773,130.98,-99.49,-618.47
102876,360.41,-574.52,-320.07
102979,260.38,-112.12,37.66
103082,-225.77,185.79,154.85
103185,-94.48,316.77,-125.73
103287,4.70,-18.55,-20.20
103391,184.02,-182.43,-30.27
103494,-35.52,171.08,-2.75
103596,65.92,-85.33,-2.44
103699,-7.20,27.28,0.18
103802,36.56,90.52,-6.35
103906,-32.17,-108.34,-0.67
104009,44.31,76.05,-44.98
104112,26.98,-169.74,-13.18
104215,-46.26,100.65,-7.93
104318,111.33,-117.31,-44.31
104421,-182.92,130.37,103.58
104524,144.35,-126.28,-18.19
104627,-131.23,105.29,86.91
104730,137.15,-61.28,-27.95
104832,-134.03,77.94,86.36
104935,120.06,-47.42,-30.70
105038,-82.40,2.01,43.95
105141,86.06,-27.83,-33.20
105243,-79.28,-11.29,36.50
105345,168.95,-34.73,-72.75
105448,44.25,-73.30,-29.42
105551,66.35,51.33,-82.28
105654,115.72,-31.43,-23.25
105757,-20.08,0.85,-22.64
105860,159.85,-12.08,-51.64
105963,-65.31,37.66,8.85
106066,23.32,0.43,-27.71
106169,37.48,-14.59,12.45
106271,-62.07,19.23,-46.20
106374,21.24,-25.21,20.81
106477,-51.03,7.51,-54.75
106580,42.72,13.98,-46.39
106683,24.60,-21.91,23.25
106786,-33.08,12.76,-36.50
106889,22.46,-7.57,21.30
106992,-18.74,3.05,-33.26
107096,-13.79,6.77,-25.82
107199,28.20,-31.19,31.98
107302,-43.82,5.92,-20.32
107405,19.84,-4.27,15.44
107508,-11.47,-13.67,10.31
107611,-42.66,24.60,-13.12
107714,40.89,-19.65,31.19
107817,-19.17,4.64,-27.22
107920,4.15,17.82,-6.90
108024,34.30,-39.61,28.14
108128,-54.38,30.64,-24.96
108230,6.29,8.18,0.98
108333,36.38,-29.72,0.67
108436,-41.08,11.35,-6.23
108538,13.55,-17.09,26.79
108641,-30.58,-1.77,2.44
108744,5.49,24.78,-26.98
108846,32.71,-20.87,14.59
108950,-52.06,15.50,-12.88
109053,23.01,-14.95,16.48
109156,-20.51,-13.31,-0.06
109258,6.23,23.32,-20.20
109361,13.06,-6.90,2.69
109464,-13.79,11.47,-24.90
109566,9.34,-5.25,15.99
109669,-28.81,-6.10,-4.09
109771,15.93,-3.72,14.89
109874,-5.31,0.49,-16.05
109977,-7.81,13.06,-4.15
110081,-0.67,-19.23,20.94
110183,-18.80,0.00,-7.75
110286,-52.00,10.93,10.13
110389,-27.34,0.49,-7.32
110492,-49.01,-7.45,21.06
110594,-24.41,-21.06,1.71
110697,-30.82,-23.44,-6.29
110800,-19.84,-17.64,16.85
110904,-19.17,16.11,64.03
111007,62.07,21.18,65.92
111110,53.47,22.28,16.36
111213,97.72,62.38,1.77
111315,39.61,-5.00,-13.55
111418,24.11,36.38,-11.41
111521,58.29,32.29,7.93
111624,64.58,3.72,-42.36
111727,38.82,-15.63,-80.81
111831,32.47,29.05,-63.23
111934,72.20,55.73,-38.82
112037,22.83,27.04,-99.73
112140,-0.43,-28.20,-70.68
112243,35.22,33.75,-37.05
112345,8.00,28.38,-37.11
112448,-90.21,45.10,-19.78
112551,-33.33,62.38,38.27
112654,-38.33,-76.35,-36.13
112757,-71.11,-39.31,97.41
112860,25.63,-52.00,-125.31
112963,-29.05,-31.07,83.86
113066,-2.62,29.11,-10.38
113168,-20.32,-4.15,118.10
113272,14.10,13.67,-94.97
113375,-4.88,6.41,72.81
113477,3.97,21.12,-5.19
113580,-8.73,37.23,-12.15
113683,4.76,-22.09,65.06
113786,8.97,0.43,-109.99
113889,-16.66,-33.02,61.89
113992,36.19,20.63,-105.16
114096,-12.76,0.61,116.52
114199,52.67,68.60,-53.16
114302,-1.16,18.68,40.47
114404,32.53,9.58,26.25
114507,0.24,4.03,-55.91
114609,-15.93,-40.22,84.11
114712,-9.64,-0.55,-97.23
114816,-45.29,-53.53,93.08
114918,42.36,23.13,-77.88
115021,3.36,15.69,12.76
115124,91.80,96.31,-61.95
115229,52.19,100.40,-72.51
115331,-340.33,-109.50,18.19
115433,-25.51,-82.28,46.26
115537,-14.16,-46.45,27.28
115640,45.17,-141.24,48.40
115743,-30.15,-61.83,48.52
115846,-74.89,-68.30,-3.85
115949,-279.24,-150.70,-280.76
116053,49.26,-32.71,-217.22
116155,29.05,26.25,635.68
116259,-170.04,-585.51,783.87
116362,-259.89,-458.56,405.09
116465,-31.13,36.62,-281.86
116568,-577.33,94.54,205.87
116670,640.38,1405.64,-1185.24
116773,-293.15,627.38,-16.36
116876,-163.82,-614.07,148.44
116980,390.32,-44.80,-281.98
117082,38.64,-684.08,1424.50
117185,-292.18,-1532.53,134.03
117287,19.53,512.76,103.52
117390,-25.09,479.00,-518.49
117492,-76.72,766.24,360.53
117595,88.87,651.25,-665.83
117698,-54.20,165.59,-99.98
117800,155.03,-84.66,-102.91
117903,-56.95,-456.24,1063.23
118007,-179.75,-1864.38,891.60
118110,314.39,-142.27,255.07
118214,-74.58,690.25,-48.40
118316,-540.89,-893.31,-880.49
118419,386.35,1929.44,1562.19
118522,805.85,1376.83,-1066.41
118624,425.23,-52.55,888.61
118727,200.56,-1242.49,437.07
118830,-1126.53,-1475.46,447.63
118933,31.49,1998.54,608.83
119036,-143.25,1445.62,-1074.22
119139,425.96,-49.87,-95.28
