Timestamp,X,Y,Z
2025-03-04 17:26:24,-0.43,-0.18,3.23
2025-03-04 17:26:24,-4.46,0.79,-1.46
2025-03-04 17:26:25,0.92,0.67,3.54
2025-03-04 17:26:25,-1.59,-2.01,-1.34
2025-03-04 17:26:26,1.04,1.16,2.5
2025-03-04 17:26:26,-0.55,0.73,-0.06
2025-03-04 17:26:27,1.46,-1.04,-0.92
2025-03-04 17:26:27,1.71,0.24,1.59
2025-03-04 17:26:28,4.64,-0.24,1.65
2025-03-04 17:26:28,-5.49,-4.33,3.72
2025-03-04 17:26:28,-4.88,-4.39,9.22
2025-03-04 17:26:29,-7.81,-2.99,3.17
2025-03-04 17:26:29,8.24,-3.78,-5.07
2025-03-04 17:26:30,1.04,-2.87,1.83
2025-03-04 17:26:30,-14.89,-7.26,0.49
2025-03-04 17:26:31,3.72,2.32,-2.99
2025-03-04 17:26:31,-0.24,0.55,-1.53
2025-03-04 17:26:32,59.39,25.51,-4.27
2025-03-04 17:26:32,34.06,5.68,1.1
2025-03-04 17:26:32,18.31,4.52,5.07
2025-03-04 17:26:33,-20.39,2.69,11.54
2025-03-04 17:26:33,-13.18,2.69,8.24
2025-03-04 17:26:34,-4.76,3.97,1.89
2025-03-04 17:26:34,9.34,3.05,1.46
2025-03-04 17:26:35,15.63,15.14,6.29
2025-03-04 17:26:35,-44.68,-8.42,21.3
2025-03-04 17:26:36,-18.8,5.25,4.33
2025-03-04 17:26:36,-37.35,-4.58,-0.85
2025-03-04 17:26:36,-13.12,-4.33,-3.36
2025-03-04 17:26:37,0.79,3.23,0.79
2025-03-04 17:26:37,-6.96,1.34,2.87
2025-03-04 17:26:38,-4.52,-1.95,0.61
2025-03-04 17:26:38,-1.65,-5.37,0.24
2025-03-04 17:26:39,9.34,-5.25,1.59
2025-03-04 17:26:39,-0.55,-3.91,2.32
2025-03-04 17:26:39,-0.18,1.89,0.31
2025-03-04 17:26:40,5.43,2.81,-1.1
2025-03-04 17:26:40,-1.53,3.23,1.04
2025-03-04 17:26:41,-2.5,4.21,2.56
2025-03-04 17:26:41,-13.73,3.72,6.29
2025-03-04 17:26:42,-6.41,11.05,7.2
2025-03-04 17:26:42,3.17,10.31,3.72
2025-03-04 17:26:43,-2.01,3.36,6.84
2025-03-04 17:26:43,25.88,1.59,0.55
2025-03-04 17:26:43,31.25,-3.97,-3.42
2025-03-04 17:26:44,-5.0,-12.39,0.31
2025-03-04 17:26:44,-13.79,-9.34,7.57
2025-03-04 17:26:45,-8.0,-3.97,8.18
2025-03-04 17:26:45,-43.7,9.4,9.03
2025-03-04 17:26:46,-22.77,3.6,2.26
2025-03-04 17:26:46,-0.98,9.28,-1.71
2025-03-04 17:26:46,-15.75,-10.01,-8.79
2025-03-04 17:26:47,-13.0,-12.15,-10.8
2025-03-04 17:26:47,-4.76,0.24,-3.72
2025-03-04 17:26:48,-6.23,12.88,-8.18
2025-03-04 17:26:48,-12.76,1.65,-4.09
2025-03-04 17:26:49,6.16,8.3,-5.68
2025-03-04 17:26:49,56.95,28.38,16.36
2025-03-04 17:26:49,58.04,-1.95,-7.32
2025-03-04 17:26:50,-107.18,-63.6,-37.96
2025-03-04 17:26:50,-75.74,-51.03,1.59
2025-03-04 17:26:51,-54.87,1.1,14.65
2025-03-04 17:26:51,-6.41,15.44,0.06
2025-03-04 17:26:51,-0.06,0.24,1.34
2025-03-04 17:26:52,-0.92,0.0,1.04
2025-03-04 17:26:52,0.0,0.67,0.18
2025-03-04 17:26:53,1.34,-0.12,-0.31
2025-03-04 17:26:53,-1.71,-0.61,0.85
2025-03-04 17:26:54,-1.16,1.1,0.43
2025-03-04 17:26:54,-0.98,-1.83,0.12
2025-03-04 17:26:55,-0.85,0.85,-1.1
2025-03-04 17:26:55,-1.77,0.31,0.73
2025-03-04 17:26:56,3.3,2.75,-1.22
2025-03-04 17:26:56,-1.89,0.37,1.22
2025-03-04 17:26:57,-0.31,3.72,2.38
2025-03-04 17:26:57,-3.42,-1.46,0.79
2025-03-04 17:26:58,0.98,-0.67,2.32
2025-03-04 17:26:58,-2.26,-0.12,0.06
2025-03-04 17:26:59,-3.17,-2.44,2.26
2025-03-04 17:26:59,-1.04,-1.34,1.16
2025-03-04 17:26:59,0.67,-2.56,1.16
2025-03-04 17:27:00,1.16,0.92,1.95
2025-03-04 17:27:00,1.4,-0.55,2.01
2025-03-04 17:27:01,0.73,0.43,-0.92
2025-03-04 17:27:01,1.83,1.04,0.12
2025-03-04 17:27:01,-1.71,-0.55,1.1
2025-03-04 17:27:02,1.59,-0.61,1.28
2025-03-04 17:27:02,1.16,0.31,-0.06
2025-03-04 17:27:03,1.71,0.31,0.55
2025-03-04 17:27:03,-0.12,1.77,1.16
2025-03-04 17:27:04,0.18,0.85,0.55
2025-03-04 17:27:04,-0.24,1.04,0.55
2025-03-04 17:27:05,1.46,0.61,0.55
2025-03-04 17:27:05,2.08,1.46,0.61
2025-03-04 17:27:05,2.56,1.53,0.92
2025-03-04 17:27:06,0.24,-0.43,0.67
2025-03-04 17:27:06,1.71,1.4,0.12
2025-03-04 17:27:07,-0.67,1.28,1.04
2025-03-04 17:27:07,0.61,3.05,4.39
2025-03-04 17:27:08,0.37,0.0,2.56
2025-03-04 17:27:08,3.42,2.5,-1.65
2025-03-04 17:27:08,6.16,0.06,-5.68
2025-03-04 17:27:09,2.87,3.66,1.4
2025-03-04 17:27:09,2.01,-0.31,1.16
2025-03-04 17:27:10,-1.4,-0.49,-1.34
2025-03-04 17:27:10,0.55,0.85,0.0
2025-03-04 17:27:11,2.69,0.92,-0.43
2025-03-04 17:27:11,1.04,-0.37,-0.12
2025-03-04 17:27:11,0.98,1.53,0.85
2025-03-04 17:27:12,-0.49,-0.31,0.18
2025-03-04 17:27:12,0.67,0.73,0.49
2025-03-04 17:27:13,0.67,0.18,-0.31
2025-03-04 17:27:13,0.18,0.0,0.18
2025-03-04 17:27:13,0.98,0.0,0.61
2025-03-04 17:27:14,0.37,0.12,0.49
2025-03-04 17:27:14,-0.18,0.18,0.12
2025-03-04 17:27:15,0.67,-0.43,0.37
2025-03-04 17:27:15,1.28,0.06,0.67
2025-03-04 17:27:16,0.31,0.24,0.85
2025-03-04 17:27:16,-0.43,0.31,-0.18
2025-03-04 17:27:16,-0.73,-0.67,-0.18
2025-03-04 17:27:17,-1.28,-0.31,1.46
2025-03-04 17:27:17,1.71,-0.55,1.04
2025-03-04 17:27:18,0.49,-0.18,0.06
2025-03-04 17:27:18,0.92,0.12,0.61
2025-03-04 17:27:19,-0.43,0.06,-0.73
2025-03-04 17:27:19,-3.6,-1.46,1.89
2025-03-04 17:27:20,1.22,-0.18,-0.18
2025-03-04 17:27:20,-2.62,-0.43,0.55
2025-03-04 17:27:21,0.67,0.73,-0.49
2025-03-04 17:27:21,-0.98,0.0,0.06
2025-03-04 17:27:22,-2.5,-0.79,0.0
2025-03-04 17:27:22,-0.24,0.06,0.0
2025-03-04 17:27:22,-1.1,1.65,3.91
2025-03-04 17:27:23,-2.87,-2.81,0.06
2025-03-04 17:27:23,-0.31,-0.85,0.31
2025-03-04 17:27:24,-1.53,-0.79,-0.06
2025-03-04 17:27:24,-7.2,4.58,-1.77
2025-03-04 17:27:25,-5.37,-3.78,4.52
2025-03-04 17:27:25,-6.71,0.43,1.1
2025-03-04 17:27:25,-8.24,-0.43,2.01
2025-03-04 17:27:26,-10.93,-3.66,1.71
2025-03-04 17:27:26,-7.08,0.43,1.22
2025-03-04 17:27:27,1.16,-0.98,1.1
2025-03-04 17:27:27,-5.25,-2.87,-1.16
2025-03-04 17:27:28,-2.14,-0.98,-0.92
2025-03-04 17:27:28,2.26,2.99,-2.81
2025-03-04 17:27:28,-2.08,1.71,-2.01
2025-03-04 17:27:29,2.99,2.32,-2.69
2025-03-04 17:27:29,-8.18,-3.54,1.1
2025-03-04 17:27:29,3.97,1.71,0.18
2025-03-04 17:27:30,-1.16,1.34,-0.37
2025-03-04 17:27:30,-2.01,-1.28,0.85
2025-03-04 17:27:31,0.98,0.0,-0.85
2025-03-04 17:27:31,0.73,1.65,0.37
2025-03-04 17:27:31,3.6,4.46,-1.59
2025-03-04 17:27:32,1.46,3.72,-0.49
2025-03-04 17:27:32,-3.54,-0.85,0.43
2025-03-04 17:27:33,-0.12,-0.73,2.26
2025-03-04 17:27:33,-0.49,0.06,0.24
2025-03-04 17:27:34,2.32,1.46,0.43
2025-03-04 17:27:34,3.11,2.32,-0.37
2025-03-04 17:27:35,0.43,0.06,-0.18
2025-03-04 17:27:35,0.85,0.31,0.43
2025-03-04 17:27:35,2.62,0.49,0.92
2025-03-04 17:27:36,3.05,-0.98,0.49
2025-03-04 17:27:36,3.6,1.46,0.61
2025-03-04 17:27:37,2.08,-0.43,1.89
2025-03-04 17:27:37,0.49,0.37,3.36
2025-03-04 17:27:38,-0.18,-0.67,1.22
2025-03-04 17:27:38,3.3,3.85,2.26
2025-03-04 17:27:39,-1.71,-0.67,0.73
2025-03-04 17:27:39,-1.95,-0.12,0.24
2025-03-04 17:27:40,-1.4,-1.65,-0.31
2025-03-04 17:27:40,-0.73,-0.92,0.0
2025-03-04 17:27:40,0.92,-0.12,0.61
2025-03-04 17:27:41,2.44,1.4,-1.53
2025-03-04 17:27:41,-2.08,-2.56,-1.16
2025-03-04 17:27:42,-4.58,-4.76,0.73
2025-03-04 17:27:42,1.1,-0.37,0.18
